Profile,Depth,Width,Web,Flange,Radius
HE 100 AA,91,100,4.2,5.5,12
HE 120 AA,109,120,4.2,5.5,12
HE 140 AA,128,140,4.3,6,12
HE 60 AA,148,160,4.5,7,15
HE 180 AA,167,180,5,7.5,15
HE 200 AA,186,200,5.5,8,18
HE 220 AA,205,220,6,8.5,18
HE 240 AA,224,240,6.5,9,21
HE 260 AA,244,260,6.5,9.5,24
HE 280 AA,264,280,7,10,24
HE 300 AA,283,300,7.5,10.5,27
HE 320 AA,301,300,8,11,27
HE 340 AA,320,300,8.5,11.5,27
HE 360 AA,339,300,9,12,27
HE 400 AA,378,300,9.5,13,27
HE 450 AA,425,300,10,13.5,27
HE 500 AA,472,300,10.5,14,27
HE 550 AA,522,300,11.5,15,27
HE 600 AA,571,300,12,15.5,27
HE 650 AA,620,300,12.5,16,27
HE 700 AA,670,300,13,17,27
HE 800 AA,770,300,14,18,30
HE 900 AA,870,300,15,20,30
HE 1000 AA,970,300,16,21,30
