Profile,Height,Width,Web,Flange
IPE 100,100,55,4.1,5.7
IPE 120,120,64,4.4,6.3
IPE 140,140,73,4.7,6.9
IPE 160,160,82,5,7.4
IPE 180,180,91,5.3,8
IPE 200,200,100,5.6,8.5
IPE 220,220,110,5.9,9.2
IPE 240,240,120,6.2,9.8
IPE 270,270,135,6.6,10.2
IPE 300,300,150,7.1,10.7
IPE 330,330,160,7.5,11.5
IPE 360,360,170,8,12.7
IPE 400,400,180,8.6,13.5
IPE 450,450,190,9.4,14.6
IPE 500,500,200,10.2,16
IPE 550,550,210,11.1,17.2
IPE 600,600,220,12,19
IPE 750 x 134,750,264,12,15.5
IPE 750 x 147,753,265,13.2,17
IPE 750 x 173,762,267,14.4,21.6
IPE 750 x 196,770,268,15.6,25.4
IPE 80,80,46,3.8,5.2
IPE A 100,98,55,3.6,4.7
IPE A 120,117.6,64,3.8,5.1
IPE A 140,137.4,73,3.8,5.6
IPE A 160,157,82,4,5.9
IPE A 180,177,91,4.3,6.5
IPE A 200,197,100,4.5,7
IPE A 220,217,110,5,7.7
IPE A 240,237,120,5.2,8.3
IPE A 270,267,135,5.5,8.7
IPE A 300,297,150,6.1,9.2
IPE A 330,327,160,6.5,10
IPE A 360,357.6,170,6.6,11.5
IPE A 400,397,180,7,12
IPE A 450,447,190,7.6,13.1
IPE A 500,497,200,8.4,14.5
IPE A 550,547,210,9,15.7
IPE A 600,597,220,9.8,17.5
IPE A 80,78,46,3.3,4.2
IPE AA 100,97.6,55,3.6,4.5
IPE AA 120,117,64,3.8,4.8
IPE AA 140,136.6,73,3.8,5.2
IPE AA 160,156.4,82,4,5.6
IPE AA 180,176.4,91,4.3,6.2
IPE AA 200,196.4,100,4.5,6.7
IPE AA 220,216.4,110,4.7,7.4
IPE AA 240,236.4,120,4.8,8
IPE AA 80,78,46,3.2,4.2
IPE AAA 100,97,55,3.6,4.5
IPE AAA 120,117,64,3.5,4.6
IPE AAA 140,136,73,3.5,5
IPE AAA 160,156,82,3.7,5.4
IPE AAA 180,176,91,3.9,6
IPE AAA 200,196,100,4.1,6.5
IPE AAA 80,78,46,3,4
IPE AAAA 100,96,55,2.9,3.6
IPE AAAA 120,115,64,3,3.9
IPE AAAA 140,134,73,3.3,4.1
IPE AAAA 160,154,82,3.6,4.3
IPE AAAA 180,174,91,3.9,4.9
IPE AAAA 200,193,100,4.1,5.2
IPE AAAA 80,76,46,2.9,3.1
IPE O 180,182,92,6,9
IPE O 200,202,102,6.2,9.5
IPE O 220,222,112,6.6,10.2
IPE O 240,242,122,7,10.8
IPE O 270,274,136,7.5,12.2
IPE O 300,304,152,8,12.7
IPE O 330,334,162,8.5,13.5
IPE O 360,364,172,9.2,14.7
IPE O 400,404,182,9.7,15.5
IPE O 450,456,192,11,17.6
IPE O 500,506,202,12,19
IPE O 550,556,212,12.7,20.2
IPE O 600,610,224,15,24
IPE V 400,408,182,10.6,17.5
IPE V 450,460,194,12.4,19.6
IPE V 500,514,204,14.2,23
IPE V 550,566,216,17.1,25.2
IPE V 600,618,228,18,28
