Profile,Height,Width,Web,Flange,Radius_1,Radius_2
IPN 80,80,42,3.9,5.9,3.9,2.3
IPN 80,80,42,3.9,5.9,2,<1
IPN 100,100,50,4.5,6.8,4.5,2.7
IPN 100,100,50,4.5,6.8,2,<1
IPN 120,120,58,5.1,7.7,5.1,3.1
IPN 120,120,58,5.1,7.7,2,<1
IPN 140,140,66,5.7,8.6,5.7,3.4
IPN 140,140,66,5.7,8.6,2,<1
IPN 160,160,74,6.3,9.5,6.3,3.8
IPN 160,160,74,6.3,9.5,2,<1
IPN 180,180,82,6.9,10.4,6.9,4.1
IPN 180,180,82,6.9,10.4,2,<1
IPN 200,200,90,7.5,11.3,7.5,4.5
IPN 200,200,90,7.5,11.3,2,<1
IPN 220,220,98,8.1,12.2,2,<1
IPN 240,240,106,8.7,13.1,2,<1
IPN 260,260,113,9.4,14.1,2,<1
IPN 280,280,119,10.1,15.2,2,<1
IPN 300,300,125,10.8,16.2,2,<1
IPN 320,320,131,11.5,17.3,2,<1
IPN 340,340,137,12.2,18.3,2,<1
IPN 360,360,143,13,19.5,2,<1
IPN 380,380,149,13.7,20.5,2,<1
IPN 400,400,155,14.4,21.6,2,<1
IPN 450,450,170,16.2,24.3,2,<1
IPN 500,500,185,18,27,2,<1
IPN 550,550,200,19,30,2,<1
IPN 600,600,215,21.6,32.4,2,<1
