Profile,Height,Web,Radius
L 15x15x2,0.45,15,2
L 15x15x3,0.66,15,3
L 20x20x2,0.89,20,2
L 20x20x3,0.9,20,3
L 20x20x4,1.16,20,4
L 25x25x3,1.14,25,3
L 25x25x4,1.48,25,4
L 25x25x5,1.82,25,5
L 30x30x3,1.39,30,3
L 30x30x4,1.81,30,4
L 30x30x5,2.22,30,5
L 30x30x6,2.61,30,6
L 35x35x4,2.13,35,4
L 35x35x5,2.62,35,5
L 40x40x3,1.87,40,3
L 40x40x4,2.46,40,4
L 40x40x5,3.03,40,5
L 40x40x6,3.58,40,6
L 45x45x3,2.13,45,3
L 45x45x4,2.79,45,4
L 45x45x5,3.44,45,5
L 50x50x3,2.37,50,3
L 50x50x4,3.11,50,4
L 50x50x5,3.8,50,5
L 50x50x6,4.52,50,6
L 50x50x7,5.21,50,7
L 50x50x8,5.89,50,8
L 60x60x5,4.6,60,5
L 60x60x6,5.48,60,6
L 60x60x7,6.33,60,7
L 60x60x8,7.17,60,8
L 60x60x10,8.8,60,10
L 65x65x6,5.96,65,6
L 65x65x7,6.89,65,7
L 65x65x8,7.81,65,8
L 65x65x9,8.72,65,9
L 65x65x10,9.6,65,10
L 70x70x5,5.4,70,5
L 70x70x6,6.44,70,6
L 70x70x7,7.45,70,7
L 70x70x8,8.45,70,8
L 70x70x9,9.44,70,9
L 70x70x10,10.4,70,10
L 75x75x5,5.8,75,5
L 75x75x6,6.92,75,6
L 75x75x7,8.01,75,7
L 75x75x8,9.09,75,8
L 75x75x9,10.16,75,9
L 75x75x10,11.2,75,10
L 80x80x6,7.4,80,6
L 80x80x7,8.57,80,7
L 80x80x8,9.73,80,8
L 80x80x9,10.88,80,9
L 80x80x10,12,80,10
L 90x90x6,8.36,90,6
L 90x90x7,9.69,90,7
L 90x90x8,11.01,90,8
L 90x90x9,12.32,90,9
L 90x90x10,13.6,90,10
L 100x100x6,9.32,100,6
L 100x100x7,10.81,100,7
L 100x100x8,12.29,100,8
L 100x100x9,13.76,100,9
L 100x100x10,15.2,100,10
L 100x100x12,18.05,100,12
L 110x110x6,10.28,110,6
L 110x110x7,11.93,110,7
L 110x110x8,13.57,110,8
L 110x110x9,15.2,110,9
L 110x110x10,16.8,110,10
L 110x110x11,18.4,110,11
L 110x110x12,19.97,110,12
L 120x120x7,13.05,120,7
L 120x120x8,14.85,120,8
L 120x120x9,16.64,120,9
L 120x120x10,18.4,120,10
L 120x120x11,20.16,120,11
L 120x120x12,21.89,120,12
L 120x120x13,23.61,120,13
L 120x120x14,25.32,120,14
L 120x120x15,27,120,15
L 120x120x16,28.68,120,16
L 130x130x8,16.13,130,8
L 130x130x9,18.08,130,9
L 130x130x10,20,130,10
L 130x130x11,21.92,130,11
L 130x130x12,23.81,130,12
L 130x130x13,25.69,130,13
L 130x130x14,27.56,130,14
L 130x130x15,29.4,130,15
L 130x130x16,31.24,130,16
L 140x140x9,19.52,140,9
L 140x140x10,21.6,140,10
L 140x140x11,23.68,140,11
L 140x140x12,25.73,140,12
L 140x140x13,27.77,140,13
L 140x140x14,29.8,140,14
L 140x140x15,31.8,140,15
L 140x140x16,33.8,140,16
L 150x150x10,23.2,150,10
L 150x150x12,27.65,150,12
L 150x150x13,29.85,150,13
L 150x150x14,32.04,150,14
L 150x150x15,34.2,150,15
L 150x150x16,36.36,150,16
L 150x150x18,40.61,150,18
L 150x150x20,44.8,150,20
L 160x160x15,36.6,160,15
L 160x160x16,38.92,160,16
L 160x160x18,43.49,160,18
L 160x160x20,48,160,20
L 180x180x13,36.09,180,13
L 180x180x15,41.4,180,15
L 180x180x16,44.04,180,16
L 180x180x18,49.25,180,18
L 180x180x20,54.4,180,20
L 200x200x13,40.25,200,13
L 200x200x15,46.2,200,15
L 200x200x16,49.16,200,16
L 200x200x18,55.01,200,18
L 200x200x20,60.8,200,20
L 250x250x13,50.65,250,13
L 250x250x15,58.2,250,15
L 250x250x18,69.41,250,18
L 250x250x20,76.8,250,20
L 300x300x13,61.05,300,13
L 300x300x15,70.2,300,15
L 300x300x16,74.76,300,16
L 300x300x18,83.81,300,18
L 300x300x20,92.8,300,20
