Profile,Height,Width,Web,Radius
L 20x10x3,20,10,3,3.5
L 25x15x3,25,15,3,3.5
L 30x15x3,30,15,3,5
L 30x20x3,30,20,3,5
L 30x20x4,30,20,4,5
L 40x20x3,40,20,3,5
L 40x20x4,40,20,4,6
L 40x20x5,40,20,5,6
L 40x30x3,40,30,3,5
L 40x30x4,40,30,4,6
L 40x30x5,40,30,5,6
L 45x30x3,45,30,3,7
L 45x30x4,45,30,4,7
L 45x30x5,45,30,5,7
L 50x30x3,50,30,3,7
L 50x30x4,50,30,4,7
L 50x30x5,50,30,5,7
L 50x40x3,50,40,3,7
L 50x40x4,50,40,4,7
L 50x40x5,50,40,5,7
L 60x30x5,60,30,5,8
L 60x30x6,60,30,6,8
L 60x30x7,60,30,7,8
L 60x40x5,60,40,5,8/2
L 60x40x6,60,40,6,8/2
L 65x50x5,65,50,5,9/2
L 65x50x7,65,50,7,9/2
L 65x50x9,65,50,9,9/2
L 70x50x6,70,50,6,9/2
L 70x50x7,70,50,7,9/2
L 70x50x8,70,50,8,9/2
L 70x50x9,70,50,9,9/2
L 75x50x6,75,50,6,9/2
L 75x50x7,75,50,7,9/2
L 75x50x8,75,50,8,9/2
L 75x55x6,75,55,6,9/2
L 75x55x7,75,55,7,9/2
L 75x55x8,75,55,8,9/2
L 75x55x9,75,55,9,9/2
L 80x40x6,80,40,6,10/2
L 80x40x8,80,40,8,10/2
L 80x65x6,80,65,6,10/2
L 80x65x8,80,65,8,10/2
L 80x65x10,80,65,10,10/2
L 90x60x6,90,60,6,11/2
L 90x60x8,90,60,8,11/2
L 100x50x6,100,50,6,12/2
L 100x50x8,100,50,8,12/2
L 100x50x10,100,50,10,12/2
L 100x65x6,100,65,6,12/2
L 100x65x7,100,65,7,12/2
L 100x65x8,100,65,8,12/2
L 100x65x9,100,65,9,12/2
L 100x65x10,100,65,10,12/2
L 100x75x6,100,75,6,12/2
L 100x75x7,100,75,7,12/2
L 100x75x8,100,75,8,12/2
L 100x75x9,100,75,9,12/2
L 100x75x10,100,75,10,12/2
L 120x80x6,120,80,6,13/2
L 120x80x8,120,80,8,13/2
L 120x80x10,120,80,10,13/2
L 130x65x6,130,65,6,14/2
L 130x65x8,130,65,8,14/2
L 130x65x10,130,65,10,14/2
L 130x75x6,130,75,6,14/2
L 130x75x8,130,75,8,14/2
L 130x75x10,130,75,10,14/2
L 130x90x10,130,90,10,14/2
L 130x90x12,130,90,12,14/2
L 140x90x8,140,90,8,15/2
L 140x90x10,140,90,10,15/2
L 140x90x12,140,90,12,15/2
L 150x75x8,150,75,8,16/2
L 150x75x10,150,75,10,16/2
L 150x90x10,150,90,10,16/2
L 150x90x11,150,90,11,16/2
L 150x90x12,150,90,12,16/2
L 150x100x8,150,100,8,17/2
L 150x100x10,150,100,10,17/2
L 150x100x12,150,100,12,17/2
L 160x100x8,160,100,8,17/2
L 160x100x10,160,100,10,17/2
L 160x100x12,160,100,12,17/2
L 180x90x8,180,90,8,18/2
L 180x90x10,180,90,10,18/2
L 180x90x12,180,90,12,18/2
L 200x100x8,200,100,8,20/2
L 200x100x10,200,100,10,20/2
L 200x100x12,200,100,12,20/2
L 200x100x15,200,100,15,20/2
L 200x100x16,200,100,16,20/2
L 200x150x12,200,150,12,20/2
L 200x150x15,200,150,15,20/2
