Profile,Height,Width,Web,Flange
UPA 50x25x3,50,25,3,3
UPA 60x30x5,60,30,5,5
UPA 80x40x4,80,40,4,4
UPA 80x40x5,80,40,5,5
UPA 80x40x6,80,40,6,6
UPA 100x50x4,100,50,4,4
UPA 100x50x5,100,50,5,5
UPA 100x50x6,100,50,6,6
UPA 120x60x5,120,60,5,5
UPA 120x60x6,120,60,6,6
UPA 130x65x6,130,65,6,6
UPA 130x65x9,130,65,9,9
UPA 140x70x7,140,70,7,7
UPA 150x75x6,150,75,6,6
UPA 150x75x9,150,75,9,9
UPA 160x80x6,160,80,6,6
UPA 160x80x8,160,80,8,8
UPA 180x90x8,180,90,8,8
UPA 200x100x8,200,100,8,8
UPA 200x100x10,200,100,10,10
